,bitscore,annotation
AP027963|Cas12b|NCBI,28.8,cas3
CP114347|Cas12b|NCBI,28.8,cas3
CP075105|Cas12f|NCBI,276.6,cas12f
AP018203|Cas12b|NCBI,923.5,cas12j
CP000806|Cas12f|NCBI,171.4,cas12f
AP018307|Cas12a|NCBI,21.5,cas4
CP029709|Cas12f|NCBI,31.4,cas3
CP001720|Cas12f|NCBI,221.2,cas12f
OY729422|Cas12a|NCBI,1395.0,cas12c
CP103540|Cas12b|NCBI,28.8,cas3
CP098703|Cas12b|NCBI,26.0,cas3
CP060140|Cas12a|NCBI,1033.4,cas12k
CP072361|Cas12f|NCBI,14.4,cas5
CP117768|Cas12f|NCBI,197.9,cas12f
CP021879|Cas12b|NCBI,28.8,cas3
CP028813|Cas12a|NCBI,10.8,cas8e
CP013328|Cas12f|NCBI,179.1,DinG
CP050882|Cas12f|NCBI,421.3,cas12f
CP098719|Cas12b|NCBI,26.0,cas3
CP009503|Cas12f|NCBI,234.2,cas12f
CP086501|Cas12a|NCBI,9.5,cas8e
CP101915|Cas12b|NCBI,28.8,cas3
CP080126|Cas12b|NCBI,28.8,cas3
CP000239|Cas12f|NCBI,297.4,cas12f
CP051500|Cas12f|NCBI,213.0,cas12f
CP122655|Cas12b|NCBI,32.2,cas3
CP000970|Cas12b|NCBI,29.0,cas3
CP074264|Cas12b|NCBI,126.0,DinG
CP136751|Cas12f|NCBI,705.2,cas12c
BK039564|Cas12f|NCBI,231.0,cas12f
CP030121|Cas12f|NCBI,167.4,cas12n
CP093226|Cas12b|NCBI,28.8,cas3
CP133829|Cas12a|NCBI,22.0,cas3
OY282383|Cas12f|NCBI,203.4,cas12f
CP003362|Cas12f|NCBI,222.0,cas12f
CP027303|Cas12f|NCBI,197.4,DinG
CP043943|Cas12a|NCBI,9.5,cas8e
CP086336|Cas12b|NCBI,28.8,cas3
CP015435|Cas12a|NCBI,74.7,cas12f
CP138416|Cas12b|NCBI,28.8,cas3
CP011107|Cas12f|NCBI,162.7,cas12f
BK022099|Cas12f|NCBI,244.0,cas12f
CP091840|Cas12f|NCBI,175.1,cas12f
LS483296|Cas12b|NCBI,28.8,cas3
CP004077|Cas12f|NCBI,162.7,cas12f
CP019418|Cas12b|NCBI,126.0,DinG
CP009504|Cas12f|NCBI,234.2,cas12f
CP059364|Cas12f|NCBI,215.2,cas12f
AP014508|Cas12f|NCBI,152.5,cas12f
CP128458|Cas12a|NCBI,30.5,cas12f
AP018233|Cas12f|NCBI,419.0,cas12f
LN831027|Cas12a|NCBI,175.6,DinG
CP076329|Cas12f|NCBI,276.6,cas12f
CP083387|Cas12a|NCBI,32.5,cas3
CP001173|Cas12f|NCBI,209.7,cas12n
OY762648|Cas12f|NCBI,137.9,cas12f
CP037903|Cas12b|NCBI,28.8,cas3
CP026932|Cas12b|NCBI,28.8,cas3
CP002348|Cas12f|NCBI,205.0,cas12f
AP013356|Cas12f|NCBI,212.0,cas12f
AP028097|Cas12a|NCBI,10.8,cas8e
CP041422|Cas12b|NCBI,27.0,cas3
CP060885|Cas12b|NCBI,32.8,cas3
BA000043|Cas12f|NCBI,249.1,cas12f
CP045914|Cas12b|NCBI,116.0,DinG
CP073339|Cas12a|NCBI,13.0,cas4
AP028838|Cas12a|NCBI,9.5,cas8e
AP023046|Cas12f|NCBI,145.2,cas12f
CP124979|Cas12b|NCBI,28.8,cas3
CP013334|Cas12f|NCBI,177.4,DinG
CP084635|Cas12b|NCBI,26.0,cas3
CP084521|Cas12a|NCBI,10.8,cas8e
CP032912|Cas12f|NCBI,210.0,cas12n
CP110483|Cas12a|NCBI,31.0,cas3
CP061475|Cas12a|NCBI,190.2,DinG
CP072377|Cas12f|NCBI,214.4,cas12f
AP027162|Cas12f|NCBI,27.6,cas3
CP002059|Cas12a|NCBI,28.0,cas12f
CP135502|Cas12b|NCBI,33.0,cas3
CP032910|Cas12f|NCBI,217.3,cas12n
CP137641|Cas12a|NCBI,27.1,cas3
CP012597|Cas12b|NCBI,126.0,DinG
LR134519|Cas12f|NCBI,212.3,cas12f
OX639992|Cas12f|NCBI,185.9,cas12f
MF547663|Cas12f|NCBI,115.5,cas12f
CP099805|Cas12b|NCBI,26.0,cas3
CP002770|Cas12a|NCBI,27.0,cas3h
CP022524|Cas12f|NCBI,213.9,cas12f
AP023230|Cas12b|NCBI,28.8,cas3
CP051372|Cas12b|NCBI,126.0,DinG
CP058594|Cas12a|NCBI,28.6,cas3
CP086340|Cas12b|NCBI,28.8,cas3
CP001393|Cas12f|NCBI,507.6,csx1
CP026326|Cas12f|NCBI,212.0,cas12f
CP019858|Cas12a|NCBI,22.0,cas3
CP075889|Cas12a|NCBI,13.0,csn2
BK035606|Cas12f|NCBI,233.0,cas12f
OY762258|Cas12f|NCBI,136.4,cas12f
CP040094|Cas12a|NCBI,44.7,cas3
CP074592|Cas12b|NCBI,117.1,DinG
CP002472|Cas12a|NCBI,31.0,cas3
CP120849|Cas12a|NCBI,26.5,csn2
KF705205|Cas12a|NCBI,9.5,cas8e
CP076376|Cas12f|NCBI,215.4,cas12f
CP054698|Cas12f|NCBI,216.7,cas12f
CP017019|Cas12a|NCBI,22.8,cas3
AP028644|Cas12a|NCBI,176.3,DinG
AP028827|Cas12a|NCBI,111.9,DinG
CP017603|Cas12f|NCBI,72.9,cas12u
CU928162|Cas12b|NCBI,28.8,cas3
CP003597|Cas12a|NCBI,13.4,cas12c
CP126071|Cas12f|NCBI,213.9,cas12f
CP022530|Cas12a|NCBI,15.5,cas3h
AP023039|Cas12f|NCBI,152.6,cas12f
CP018109|Cas12b|NCBI,28.8,cas3
CP098695|Cas12b|NCBI,26.0,cas3
CP064295|Cas12a|NCBI,32.9,cas3
CP126676|Cas12a|NCBI,13.8,cas8b
CP092025|Cas12f|NCBI,215.2,cas12f
CP007452|Cas12f|NCBI,170.9,cas12u
CP002101|Cas12f|NCBI,240.7,cas12n
CP021683|Cas12b|NCBI,28.8,cas3
CP008903|Cas12f|NCBI,220.6,cas12f
AP027775|Cas12b|NCBI,28.7,cas3
CP003549|Cas12f|NCBI,318.0,csx3
CP044175|Cas12f|NCBI,215.2,cas12f
CP029566|Cas12f|NCBI,209.6,cas12f
CP054306|Cas12f|NCBI,816.6,cas12j
CP003945|Cas12f|NCBI,266.7,cas12f
CP011970|Cas12f|NCBI,115.5,cas12f
CP125003|Cas12b|NCBI,28.8,cas3
CP136572|Cas12f|NCBI,231.0,cas12f
CP061471|Cas12f|NCBI,218.1,cas12f
AP023036|Cas12f|NCBI,152.2,cas12f
CP009512|Cas12f|NCBI,31.2,cas3
CP085372|Cas12b|NCBI,28.8,cas3
AE010299|Cas12f|NCBI,224.7,cas12f
CP019870|Cas12f|NCBI,213.9,cas12f
CP051167|Cas12f|NCBI,265.3,cas12f
AP028639|Cas12a|NCBI,176.3,DinG
AP028102|Cas12a|NCBI,10.8,cas8e
CP000812|Cas12f|NCBI,118.4,cas12f
CP003906|Cas12f|NCBI,212.0,cas12f
AP028643|Cas12f|NCBI,175.7,DinG
CP083761|Cas12f|NCBI,128.6,cas12u
AP019780|Cas12f|NCBI,31.4,cas3
CP083869|Cas12b|NCBI,28.8,cas3
CP020426|Cas12f|NCBI,115.5,cas12f
CP013652|Cas12f|NCBI,185.7,cas12n
CP019225|Cas12f|NCBI,819.9,cas12j
CP131610|Cas12a|NCBI,27.1,cas3
BK056799|Cas12f|NCBI,233.8,cas12f
CP032905|Cas12f|NCBI,208.4,cas12n
CP013336|Cas12f|NCBI,176.2,DinG
CP021445|Cas12a|NCBI,22.0,cas3
CP098710|Cas12b|NCBI,26.0,cas3
CP056355|Cas12b|NCBI,28.8,cas3
CP051128|Cas12f|NCBI,134.9,cas12f
CP074675|Cas12f|NCBI,276.6,cas12f
CP065643|Cas12f|NCBI,15.2,cas13a
CP011456|Cas12f|NCBI,206.5,cas12f
AP026075|Cas12a|NCBI,22.8,cas3
CP123029|Cas12b|NCBI,25.5,cas3
CP071098|Cas12a|NCBI,177.2,DinG
AE000512|Cas12f|NCBI,162.7,cas12f
AP018288|Cas12f|NCBI,133.7,cas12f
CP075022|Cas12b|NCBI,126.7,DinG
CP007062|Cas12f|NCBI,209.0,cas12n
CP098714|Cas12b|NCBI,26.0,cas3
CP084647|Cas12b|NCBI,121.3,cas12f
AP019189|Cas12b|NCBI,28.8,cas3
CP033250|Cas12b|NCBI,28.8,cas3
CP073968|Cas12b|NCBI,28.8,cas3
CP014342|Cas12a|NCBI,75.2,cas12u
CP042908|Cas12f|NCBI,31.4,cas3
CP098691|Cas12b|NCBI,26.0,cas3
CP104526|Cas12b|NCBI,28.8,cas3
CP003723|Cas12f|NCBI,226.7,cas12n
CP003284|Cas12a|NCBI,12.1,csx3
CP039437|Cas12b|NCBI,126.0,DinG
CP000969|Cas12f|NCBI,162.7,cas12f
LS483488|Cas12f|NCBI,212.2,cas12f
CP023184|Cas12b|NCBI,26.0,cas3
BA000019|Cas12a|NCBI,15.7,cas5
CP012024|Cas12f|NCBI,227.7,cas12f
CP119968|Cas12f|NCBI,430.5,cas12f
CP040281|Cas12f|NCBI,43.1,cas3
CP011108|Cas12f|NCBI,162.7,cas12f
CP128459|Cas12f|NCBI,249.1,cas12f
CP019636|Cas12f|NCBI,343.1,cas12f
AP028837|Cas12a|NCBI,111.9,DinG
CP126297|Cas12b|NCBI,28.8,cas3
OV696605|Cas12a|NCBI,31.5,cas12u
CP009514|Cas12f|NCBI,31.4,cas3
CP051162|Cas12a|NCBI,76.3,cas12u
LR890288|Cas12b|NCBI,36.8,cas3
CP001600|Cas12a|NCBI,10.8,cas8e
CP010436|Cas12f|NCBI,212.0,cas12f
AP025732|Cas12a|NCBI,103.3,cas12u
CP009530|Cas12f|NCBI,78.4,cas12n
CP020466|Cas12a|NCBI,18.2,cas3
CP016106|Cas12a|NCBI,22.0,cas3
CP117825|Cas12f|NCBI,212.9,cas12n
CP123036|Cas12b|NCBI,25.5,cas3
BK024772|Cas12f|NCBI,246.0,cas12n
CP045913|Cas12a|NCBI,12.1,cas7
AP018178|Cas12f|NCBI,365.0,cas12f
CP133815|Cas12f|NCBI,213.9,cas12f
LR135169|Cas12a|NCBI,27.1,cas3
CP024698|Cas12a|NCBI,176.0,DinG
CP084637|Cas12b|NCBI,26.0,cas3
CP084642|Cas12b|NCBI,26.0,cas3
CP100500|Cas12b|NCBI,28.8,cas3
CP092014|Cas12b|NCBI,21.4,cas3
CP075731|Cas12b|NCBI,28.8,cas3
CP061470|Cas12f|NCBI,191.8,DinG
CP040553|Cas12a|NCBI,195.1,DinG
OY762011|Cas12f|NCBI,210.9,cas12f
OY762512|Cas12a|NCBI,154.3,cas12f
CP007013|Cas12f|NCBI,162.7,cas12f
CP089942|Cas12f|NCBI,288.9,cas12f
CP077702|Cas12f|NCBI,276.6,cas12f
CP057167|Cas12b|NCBI,28.8,cas3
CP014944|Cas12b|NCBI,36.9,cas3
CP137705|Cas12b|NCBI,28.8,cas3
CP032913|Cas12f|NCBI,215.7,cas12n
CP037968|Cas12f|NCBI,242.4,cas12f
CP013970|Cas12f|NCBI,288.9,cas12f
AP028119|Cas12a|NCBI,10.8,cas8e
CP129431|Cas12f|NCBI,223.6,cas12n
CP061476|Cas12f|NCBI,259.4,cas12f
CP063162|Cas12a|NCBI,20.7,cas10
CP027520|Cas12b|NCBI,28.9,cas3
CP040443|Cas12a|NCBI,11.7,cas12a
AP023042|Cas12f|NCBI,214.0,cas12n
AP019860|Cas12f|NCBI,101.9,cas12f
OY282386|Cas12f|NCBI,134.5,cas12f
CP099808|Cas12b|NCBI,26.0,cas3
CP066022|Cas12f|NCBI,223.6,cas12n
CP068114|Cas12a|NCBI,174.1,DinG
CP037801|Cas12f|NCBI,213.9,cas12f
AP018184|Cas12b|NCBI,923.1,cas12j
CP037802|Cas12f|NCBI,217.8,cas12f
CP047158|Cas12f|NCBI,217.3,cas12f
CP000240|Cas12f|NCBI,158.0,cas12f
CP027376|Cas12f|NCBI,28.8,cas3
AE000511|Cas12f|NCBI,212.0,cas12f
OY761015|Cas12f|NCBI,191.4,cas12f
CP053416|Cas12b|NCBI,116.3,DinG
CP125009|Cas12b|NCBI,28.8,cas3
CP122499|Cas12b|NCBI,28.8,cas3
FP565814|Cas12a|NCBI,14.9,csm2
CP011078|Cas12b|NCBI,26.0,cas3
CP126107|Cas12f|NCBI,50.7,cas3
OX638352|Cas12a|NCBI,134.8,cas12f
OY762010|Cas12f|NCBI,132.2,cas12f
OY762722|Cas12a|NCBI,19.5,cas3d
CP025045|Cas12f|NCBI,213.9,cas12f
AP018216|Cas12a|NCBI,15.7,cas5
CP098697|Cas12b|NCBI,26.0,cas3
CP051511|Cas12f|NCBI,214.1,cas12n
CP050195|Cas12b|NCBI,25.5,cas3
CP051434|Cas12f|NCBI,214.1,cas12n
AP024205|Cas12b|NCBI,28.8,cas3
AP018335|Cas12f|NCBI,202.2,cas12f
CP012713|Cas12a|NCBI,178.2,DinG
CP074205|Cas12f|NCBI,276.6,cas12f
CP021532|Cas12b|NCBI,28.8,cas3
LS483428|Cas12b|NCBI,124.1,DinG
CP031705|Cas12f|NCBI,1059.3,cas12k
OY782867|Cas12f|NCBI,-1.0,unknown
CP124995|Cas12b|NCBI,28.8,cas3
CP000768|Cas12f|NCBI,208.4,cas12f
CP137642|Cas12f|NCBI,207.0,cas12f
CP014749|Cas12f|NCBI,219.1,cas12f
CP128454|Cas12f|NCBI,193.5,cas12u
CP017980|Cas12b|NCBI,28.8,cas3
CP031941|Cas12f|NCBI,366.4,cas12f
LR778114|Cas12a|NCBI,82.0,cas12f
CP025800|Cas12b|NCBI,26.0,cas3
CP072359|Cas12f|NCBI,14.8,cas3
CP019116|Cas12f|NCBI,278.0,cas12f
CP046244|Cas12f|NCBI,91.7,cas12f
CP051206|Cas12f|NCBI,308.1,cas12f
KX119206|Cas12f|NCBI,212.0,cas12f
AP018318|Cas12f|NCBI,135.3,cas12u
CP126114|Cas12a|NCBI,52.8,cas3
CP080624|Cas12a|NCBI,18.8,cas4
CP100429|Cas12a|NCBI,175.6,DinG
CP133830|Cas12f|NCBI,212.8,cas12f
CP024701|Cas12f|NCBI,228.3,cas12n
CP003600|Cas12f|NCBI,207.5,cas12f
OX383078|Cas12a|NCBI,1272.8,cas12c
CP059374|Cas12f|NCBI,224.4,cas12f
CP010129|Cas12b|NCBI,28.8,cas3
CP051535|Cas12f|NCBI,212.5,cas12n
CP002219|Cas12f|NCBI,124.8,cas12u
CP092065|Cas12a|NCBI,49.6,cas3
CP034058|Cas12a|NCBI,16.0,csx3
CP028108|Cas12f|NCBI,225.1,cas12n
CP122690|Cas12b|NCBI,28.8,cas3
AP017295|Cas12a|NCBI,19.0,cas4
CP020380|Cas12f|NCBI,212.8,cas12f
CP027403|Cas12f|NCBI,208.4,cas12f
CP048915|Cas12b|NCBI,25.5,cas3
CP126072|Cas12f|NCBI,209.9,cas12f
CP007141|Cas12f|NCBI,152.5,cas12f
CP030369|Cas12a|NCBI,14.9,csm2
CP117271|Cas12f|NCBI,31.2,cas3
CP072374|Cas12a|NCBI,19.6,cas3h
LT838272|Cas12a|NCBI,19.0,cas3h
AP013354|Cas12f|NCBI,212.0,cas12f
OY762257|Cas12f|NCBI,86.2,cas12u
BK030888|Cas12f|NCBI,238.5,cas12f
CP091409|Cas12b|NCBI,28.8,cas3
CP117964|Cas12f|NCBI,213.5,cas12n
CP003408|Cas12f|NCBI,161.4,cas12f
OY729511|Cas12f|NCBI,14.4,cas2
KX119174|Cas12f|NCBI,212.0,cas12f
OR797031|Cas12a|NCBI,9.5,cas8e
CP086491|Cas12a|NCBI,9.5,cas8e
CP021934|Cas12f|NCBI,176.4,DinG
CP042267|Cas12f|NCBI,215.4,cas12f
CP003905|Cas12f|NCBI,212.0,cas12f
CP076097|Cas12f|NCBI,276.6,cas12f
CP116159|Cas12b|NCBI,28.8,cas3
CP126110|Cas12a|NCBI,51.7,cas3
CP028529|Cas12f|NCBI,202.9,cas12f
CP089934|Cas12f|NCBI,288.9,cas12f
CP091155|Cas12b|NCBI,28.8,cas3
LS483495|Cas12b|NCBI,123.3,DinG
CP024700|Cas12a|NCBI,231.3,cas12n
CP024705|Cas12f|NCBI,228.4,cas12n
CP133831|Cas12a|NCBI,22.0,cas3
CP035913|Cas12a|NCBI,16.3,csn2
CP058250|Cas12f|NCBI,186.7,cas12n
CP086471|Cas12a|NCBI,9.5,cas8e
CP028325|Cas12f|NCBI,212.2,cas12f
AP028832|Cas12a|NCBI,111.9,DinG
CP046009|Cas12b|NCBI,28.8,cas3
OU701459|Cas12a|NCBI,19.7,cas3
CP001291|Cas12f|NCBI,216.4,cas12f
BK017243|Cas12f|NCBI,241.0,cas12f
CP028578|Cas12b|NCBI,28.8,cas3
CP091644|Cas12f|NCBI,215.2,cas12f
CP047469|Cas12b|NCBI,28.8,cas3
AP013355|Cas12f|NCBI,212.0,cas12f
CP003591|Cas12f|NCBI,270.0,cas12f
CP072858|Cas12b|NCBI,28.8,cas3
AP026673|Cas12b|NCBI,30.9,cas3
CP061473|Cas12a|NCBI,202.5,DinG
CP075336|Cas12a|NCBI,28.6,cas3
CP003001|Cas12f|NCBI,158.7,cas12f
CP009277|Cas12f|NCBI,220.1,cas12f
CP024785|Cas12a|NCBI,184.5,cas12f
CP009518|Cas12a|NCBI,23.3,csa3
CP082600|Cas12b|NCBI,126.0,DinG
CP029975|Cas12a|NCBI,9.5,cas8e
AP014642|Cas12b|NCBI,923.5,cas12j
LR782231|Cas12b|NCBI,28.8,cas3
CP074206|Cas12f|NCBI,276.6,cas12f
AP025232|Cas12a|NCBI,18.3,csx19
CP086338|Cas12b|NCBI,28.8,cas3
CP104851|Cas12b|NCBI,25.5,cas3
CP128449|Cas12f|NCBI,193.5,cas12u
CP002070|Cas12f|NCBI,244.8,cas12n
CP025074|Cas12f|NCBI,248.5,cas12f
CP114337|Cas12b|NCBI,28.8,cas3
BK023444|Cas12f|NCBI,231.3,cas12f
AP026503|Cas12b|NCBI,28.8,cas3
AP028641|Cas12f|NCBI,175.3,DinG
CP084641|Cas12b|NCBI,26.0,cas3
CP099464|Cas12f|NCBI,262.8,cas12f
AP027818|Cas12b|NCBI,36.8,cas3
CP106849|Cas12a|NCBI,10.8,cas8e
CP092062|Cas12a|NCBI,10.8,cas8e
CP139957|Cas12f|NCBI,211.0,cas12f
CP036177|Cas12b|NCBI,28.8,cas3
CP099809|Cas12b|NCBI,26.0,cas3
CP098724|Cas12b|NCBI,26.0,cas3
AP018174|Cas12f|NCBI,285.5,cas12j
CP025281|Cas12f|NCBI,215.2,cas12f
CP125039|Cas12b|NCBI,28.8,cas3
AP028848|Cas12a|NCBI,9.5,cas8e
CP085923|Cas12f|NCBI,213.2,cas12f
CP032473|Cas12f|NCBI,212.2,cas12f
CP000117|Cas12a|NCBI,16.0,csx3
CP026831|Cas12b|NCBI,28.9,cas3
CP073589|Cas12b|NCBI,28.8,cas3
CP009539|Cas12b|NCBI,26.0,cas3
CP140504|Cas12b|NCBI,28.8,cas3
AP028854|Cas12a|NCBI,9.5,cas8e
AP018316|Cas12f|NCBI,324.7,cas12f
CP038860|Cas12f|NCBI,198.3,DinG
CP019961|Cas12b|NCBI,28.8,cas3
CP037821|Cas12f|NCBI,213.9,cas12f
AP028115|Cas12a|NCBI,10.8,cas8e
CP085053|Cas12f|NCBI,276.6,cas12f
CP032663|Cas12f|NCBI,293.5,cas12f
CP099813|Cas12b|NCBI,26.0,cas3
CP074211|Cas12b|NCBI,-1.0,unknown
CP026721|Cas12a|NCBI,30.0,cas3h
CP003653|Cas12f|NCBI,304.9,cas12f
OY771309|Cas12f|NCBI,172.3,cas12f
AP028123|Cas12a|NCBI,10.8,cas8e
CP020378|Cas12f|NCBI,212.8,cas12f
CP043334|Cas12b|NCBI,25.5,cas3
CP076098|Cas12f|NCBI,276.6,cas12f
CP085717|Cas12f|NCBI,154.3,cas12u
CP002351|Cas12a|NCBI,31.4,cas3h
CP009509|Cas12f|NCBI,39.2,csa3
CP063311|Cas12f|NCBI,1143.7,cas12k
CP118396|Cas12f|NCBI,144.3,cas12f
CP003083|Cas12f|NCBI,166.5,cas12f
AP017375|Cas12a|NCBI,21.4,cas4
CP009510|Cas12f|NCBI,31.4,cas3
CP037805|Cas12f|NCBI,213.9,cas12f
CP133834|Cas12f|NCBI,209.0,cas12f
BK021901|Cas12a|NCBI,87.6,cas12f
CP007633|Cas12a|NCBI,16.4,csa3
CP043947|Cas12a|NCBI,9.5,cas8e
CP098701|Cas12b|NCBI,26.0,cas3
CP012321|Cas12f|NCBI,209.6,cas12f
CP092419|Cas12b|NCBI,923.5,cas12j
CP074276|Cas12f|NCBI,276.6,cas12f
CP037823|Cas12f|NCBI,115.5,cas12f
CP011484|Cas12f|NCBI,210.5,cas12f
CP057163|Cas12b|NCBI,28.8,cas3
CP124543|Cas12f|NCBI,70.8,cas12f
CP032476|Cas12f|NCBI,209.5,cas12f
CP017029|Cas12f|NCBI,215.2,cas12f
CP011482|Cas12f|NCBI,213.0,cas12n
CP035676|Cas12b|NCBI,116.0,DinG
CP086511|Cas12a|NCBI,9.5,cas8e
CP003096|Cas12a|NCBI,15.5,cas3
CP128609|Cas12b|NCBI,28.8,cas3
OY764061|Cas12a|NCBI,13.0,cas12f
AP025621|Cas12f|NCBI,47.8,cas3
CP047242|Cas12a|NCBI,16.0,csx3
CP018103|Cas12b|NCBI,28.8,cas3
CP064923|Cas12a|NCBI,19.5,cas4
CP026681|Cas12f|NCBI,124.0,cas12f
AP028110|Cas12a|NCBI,10.8,cas8e
CP020559|Cas12f|NCBI,72.9,cas12u
OX639973|Cas12f|NCBI,209.9,cas12f
CP097213|Cas12b|NCBI,28.8,cas3
CP030361|Cas12a|NCBI,14.9,csm2
CP074272|Cas12f|NCBI,276.6,cas12f
AP028843|Cas12a|NCBI,9.5,cas8e
CP037799|Cas12f|NCBI,115.5,cas12f
CP071094|Cas12f|NCBI,207.2,cas12n
CP026324|Cas12f|NCBI,212.0,cas12f
CP132144|Cas12f|NCBI,213.9,cas12f
CP083877|Cas12b|NCBI,28.8,cas3
CP017025|Cas12a|NCBI,215.2,cas12f
CP130144|Cas12f|NCBI,603.9,cas12j
OY762947|Cas12f|NCBI,88.2,cas12u
CP140466|Cas12b|NCBI,28.8,cas3
AP018180|Cas12f|NCBI,647.8,cas12k
CP076327|Cas12f|NCBI,276.6,cas12f
CP071065|Cas12f|NCBI,305.5,cas12k
KU516152|Cas12a|NCBI,2192.4,cas12e
CP023834|Cas12b|NCBI,28.8,cas3
HE964772|Cas12a|NCBI,27.7,cas3
CP005586|Cas12f|NCBI,207.7,cas12f
CP064879|Cas12f|NCBI,419.0,cas12f
CP047197|Cas12f|NCBI,215.2,cas12f
KF705206|Cas12a|NCBI,9.5,cas8e
CP048371|Cas12b|NCBI,28.8,cas3
CP003659|Cas12a|NCBI,14.1,cas4
LR890603|Cas12b|NCBI,36.8,cas3
CP094080|Cas12f|NCBI,210.7,cas12n
FN668943|Cas12f|NCBI,190.9,cas12n
CP032474|Cas12f|NCBI,212.2,cas12f
CP129105|Cas12f|NCBI,208.2,cas12n
BK050961|Cas12f|NCBI,228.3,cas12f
CP034952|Cas12f|NCBI,75.6,cas12u
CP012036|Cas12a|NCBI,13.8,cas12f
CP000679|Cas12f|NCBI,116.3,cas12u
CP054232|Cas12b|NCBI,28.8,cas3
CP042893|Cas12b|NCBI,28.8,cas3
OY754364|Cas12b|NCBI,28.8,cas3
AP028842|Cas12a|NCBI,111.9,DinG
BK017448|Cas12f|NCBI,238.4,cas12f
CP115913|Cas12f|NCBI,133.1,cas12f
CP094173|Cas12f|NCBI,212.7,cas12n
CP074263|Cas12b|NCBI,126.0,DinG
CP043228|Cas12a|NCBI,9.5,cas8e
CP116619|Cas12f|NCBI,21.7,csm2
CP027015|Cas12f|NCBI,115.5,cas12f
CP017236|Cas12f|NCBI,266.7,cas12n
KF290378|Cas12a|NCBI,9.5,cas8e
CP000828|Cas12a|NCBI,22.8,cas3
CP003548|Cas12a|NCBI,14.6,cas12f
CP098984|Cas12b|NCBI,28.8,cas3
CP005492|Cas12a|NCBI,14.6,csn2
CP130447|Cas12b|NCBI,28.8,cas3
CP030357|Cas12a|NCBI,14.9,csm2
AP028636|Cas12f|NCBI,175.3,DinG
CP128453|Cas12a|NCBI,75.3,cas12u
CP024699|Cas12a|NCBI,177.5,DinG
AP026769|Cas12f|NCBI,204.5,cas12n
CP083880|Cas12b|NCBI,28.8,cas3
CP090456|Cas12b|NCBI,28.8,cas3
CP096115|Cas12f|NCBI,247.8,cas12f
CP071092|Cas12f|NCBI,176.2,DinG
LN681231|Cas12b|NCBI,26.0,cas3
CP032475|Cas12f|NCBI,209.5,cas12f
CP010160|Cas12b|NCBI,28.8,cas3
CP011832|Cas12f|NCBI,250.8,cas12f
CP133440|Cas12b|NCBI,26.0,cas3
CP132148|Cas12f|NCBI,115.5,cas12f
CP074354|Cas12b|NCBI,28.8,cas3
AP018268|Cas12f|NCBI,369.7,cas12f
CP044293|Cas12b|NCBI,28.8,cas3
CP069692|Cas12b|NCBI,28.8,cas3
CP063979|Cas12b|NCBI,28.8,cas3
LT549891|Cas12f|NCBI,263.6,cas12f
CP038233|Cas12f|NCBI,276.6,cas12f
CP006254|Cas12f|NCBI,224.7,cas12f
CP085947|Cas12f|NCBI,209.7,cas12n
CP025047|Cas12f|NCBI,213.9,cas12f
CP057473|Cas12f|NCBI,28.8,cas3
LR756508|Cas12f|NCBI,141.1,cas12u
BK048175|Cas12f|NCBI,232.0,cas12f
CP080370|Cas12b|NCBI,25.5,cas3
AP018166|Cas12a|NCBI,14.1,cas4
AP023037|Cas12a|NCBI,14.0,cas2
